MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",81.884976,148.276825,80.239002,6.721724,7.925266,2.704709,5,8
"chord_mrx_09_000001",94.003119,200.129245,91.793731,3.941516,0.024984,1.044325,1,4
"chord_mrx_09_000002",87.161398,182.143129,85.069755,4.461443,2.851465,4.415055,7,7
"chord_mrx_09_000003",76.623455,153.469388,74.623721,4.711234,11.048248,3.317860,7,5
"chord_mrx_09_000004",67.194711,236.088889,66.980246,17.576610,2.850282,10.125114,20,22
"chord_mrx_09_000005",68.631346,194.841000,66.510129,13.485355,0.971561,10.024071,20,21
"chord_mrx_09_000006",71.326566,183.771429,68.926317,5.909717,14.588415,7.572184,8,4
"chord_mrx_09_000007",79.189964,112.875102,74.844363,5.551696,10.839184,3.678638,9,9
"chord_mrx_09_000008",56.382552,171.101752,53.837939,26.651479,1.416079,14.915733,20,14
"chord_mrx_09_000009",85.820964,164.022857,85.508290,6.214270,3.064608,4.556407,12,11
"chord_mrx_09_000010",78.742295,149.394286,75.171686,6.061565,7.515713,7.402892,8,9
"chord_mrx_09_000011",71.552968,201.753890,69.375325,11.938510,4.013336,11.454542,12,10
"chord_mrx_09_000012",82.005437,147.513469,78.808042,7.417478,7.464114,2.832434,3,8
"chord_mrx_09_000013",73.753606,277.080816,72.573150,11.194505,4.377877,9.069539,12,15
"chord_mrx_09_000014",77.486344,263.332325,73.161456,11.206087,4.092628,3.284608,8,6
"chord_mrx_09_000015",56.890371,111.962523,56.469363,18.215950,10.408151,14.343745,12,9
"chord_mrx_09_000016",56.532375,107.637134,52.664706,26.945667,0.340243,15.498854,11,12
"chord_mrx_09_000017",0.344179,132.465487,0.000000,0.000000,95.866073,3.387491,9,9
"chord_mrx_09_000018",57.993069,101.459592,53.844036,30.206824,1.726417,1.820528,4,6
"chord_mrx_09_000019",63.858349,145.075374,61.551314,12.871378,16.976085,4.449129,6,7
"chord_mrx_09_000020",56.952322,129.509298,53.187878,12.362108,3.291107,26.145181,9,11
"chord_mrx_09_000021",85.253032,200.943000,84.578711,1.698989,9.750526,0.433954,7,5
"chord_mrx_09_000022",83.176618,157.152653,80.801190,0.721652,13.198856,1.565968,4,5
"chord_mrx_09_000023",96.023852,110.184490,92.376634,0.000000,1.965769,1.625419,4,5
"chord_mrx_09_000024",79.931533,154.652170,77.032604,11.931815,0.843498,6.949737,14,11
"chord_mrx_09_000025",81.264982,183.133000,79.051837,3.082459,8.996740,6.323819,9,11
"chord_mrx_09_000026",92.322495,170.912160,91.422403,1.631926,4.556844,0.023895,3,5
"chord_mrx_09_000027",73.511212,160.198986,72.656071,15.230499,3.353331,6.752505,9,9
"chord_mrx_09_000028",65.474341,337.995000,64.769301,14.994896,4.705987,11.891300,40,25
"chord_mrx_09_000029",78.606992,110.064000,76.251090,13.311346,1.040304,4.968927,12,11
"chord_mrx_09_000030",72.541524,121.376000,20.199216,0.000000,2.430464,0.000000,3,3
"chord_mrx_09_000031",21.062719,229.683084,20.113585,2.690500,69.569257,0.526813,4,4
"chord_mrx_09_000032",61.844548,19.022380,60.133359,11.039034,14.502659,12.379870,9,7
"chord_mrx_09_000033",88.638167,151.092245,85.916488,3.578133,2.557150,4.535306,12,16
"chord_mrx_09_000034",88.868236,158.066939,86.499698,0.000000,5.136927,4.336028,5,7
"chord_mrx_09_000035",77.890065,147.142000,76.299765,11.046472,2.315450,4.713814,15,15
"chord_mrx_09_000036",64.653781,217.887347,64.168509,20.474797,2.979791,11.275357,12,8
"chord_mrx_09_000037",73.679687,121.392510,70.613735,14.112615,1.425392,9.939257,6,6
"chord_mrx_09_000038",85.574223,195.343673,85.306146,4.646700,7.932853,0.964273,10,13
"chord_mrx_09_000039",40.459774,333.425000,30.457824,28.965135,6.135413,21.665142,13,19
"chord_mrx_09_000040",69.085739,228.600000,68.407699,18.912073,2.684602,8.136920,15,13
"chord_mrx_09_000041",65.271824,166.997912,64.178446,17.888837,3.744188,10.264783,9,15
"chord_mrx_09_000042",74.566655,117.330432,71.305326,15.159337,0.111919,9.612256,6,3
"chord_mrx_09_000043",30.836313,161.149388,21.802291,47.261391,3.457699,16.582868,9,10
"chord_mrx_09_000044",75.106956,152.581224,72.733388,16.724201,4.171109,3.746789,8,14
"chord_mrx_09_000045",45.632696,136.681362,44.960151,47.431137,1.101408,5.088647,12,12
"chord_mrx_09_000046",66.402771,175.827000,65.398943,22.921394,4.115978,6.202119,17,17
"chord_mrx_09_000047",90.561616,40.620408,83.470437,3.407745,3.120478,1.580922,4,4
"chord_mrx_09_000048",86.117394,148.511640,82.841345,1.736835,7.992569,3.900958,8,9
"chord_mrx_09_000049",78.197609,167.627755,75.508228,2.895228,17.027350,1.644326,5,6
"chord_mrx_09_000050",11.444002,194.089796,11.237439,2.805033,41.735440,38.574831,11,11
"chord_mrx_09_000051",56.570844,150.282449,53.541582,24.767088,8.212771,8.720230,9,12
"chord_mrx_09_000052",70.385057,72.751020,70.385057,7.147136,20.272972,1.519903,7,8
"chord_mrx_09_000053",60.578685,31.681117,45.612581,0.000000,24.173074,0.000000,1,2
"chord_mrx_09_000054",46.873515,206.007440,45.438754,15.518994,16.425907,17.967100,7,6
"chord_mrx_09_000055",89.802350,167.122720,87.238549,3.520924,3.470842,2.539436,6,6
"chord_mrx_09_000056",1.831893,192.496327,0.000000,0.000000,68.390725,28.900890,7,12
"chord_mrx_09_000057",74.262852,225.309026,72.769244,18.008733,2.833156,3.633865,9,8
"chord_mrx_09_000058",78.583624,117.860212,75.362756,10.097233,2.885405,5.441288,7,6
"chord_mrx_09_000059",67.293406,202.317000,66.602905,17.018343,3.187572,11.605055,13,16
"chord_mrx_09_000060",76.674088,156.708571,76.463506,11.086483,0.937135,11.236597,8,13
"chord_mrx_09_000061",52.897283,138.919232,49.823251,35.405503,2.047836,9.354999,14,10
"chord_mrx_09_000062",74.590544,253.399781,73.903536,14.160376,2.966895,7.807717,8,8
"chord_mrx_09_000063",49.759523,133.587302,27.094551,37.525353,2.052196,6.857031,14,12
"chord_mrx_09_000064",72.117198,214.713000,70.971483,8.922608,2.161956,13.860828,11,15
"chord_mrx_09_000065",30.579911,189.515466,30.075187,43.243175,3.306609,21.934523,12,11
"chord_mrx_09_000066",55.597769,290.848000,54.869898,20.968685,3.018071,12.493811,21,11
"chord_mrx_09_000067",81.204118,138.370612,77.893724,10.384039,3.559759,4.164522,6,7
"chord_mrx_09_000068",65.990087,192.737235,65.249627,10.548368,7.648360,14.912375,13,15
"chord_mrx_09_000069",90.737174,116.424853,88.286790,1.073401,6.057628,1.767740,10,12
"chord_mrx_09_000070",91.890004,139.706676,91.055732,1.026997,5.043542,1.612778,10,11
"chord_mrx_09_000071",69.312216,164.101224,66.800065,9.865446,17.815749,2.868782,8,7
"chord_mrx_09_000072",60.445165,151.914612,58.307149,27.713914,7.710638,1.883708,7,5
"chord_mrx_09_000073",6.404799,304.150793,5.939871,50.765230,16.691554,25.852331,2,12
"chord_mrx_09_000074",41.766946,137.757028,41.116611,45.420770,0.885100,11.667678,18,16
"chord_mrx_09_000075",76.096304,144.771973,72.941442,14.944203,4.695539,3.939130,7,7
"chord_mrx_09_000076",56.906760,159.674920,56.074840,34.969747,1.875740,6.071469,17,18
"chord_mrx_09_000077",77.008860,137.607256,73.539655,16.990143,1.356999,3.949422,12,13
"chord_mrx_09_000078",84.889237,147.983673,82.345667,7.731072,2.078800,4.705525,8,9
"chord_mrx_09_000079",31.874553,86.999931,31.654465,42.405747,1.953453,23.721966,12,11
"chord_mrx_09_000080",62.371216,157.531000,61.351099,12.612121,2.365884,21.753179,13,13
"chord_mrx_09_000081",78.162377,175.804082,74.502575,8.900054,7.759473,5.010241,6,7
"chord_mrx_09_000082",50.885156,157.648980,47.770497,37.340193,5.404880,6.127672,11,14
"chord_mrx_09_000083",81.279060,155.173152,80.971438,7.807503,5.763388,4.637803,11,18
"chord_mrx_09_000084",77.707717,171.101456,73.919542,11.842598,8.758570,0.419875,5,12
"chord_mrx_09_000085",81.796825,163.317551,73.768304,6.675392,10.107282,0.927249,8,9
"chord_mrx_09_000086",67.828908,225.821231,65.161030,14.966132,3.551659,6.537864,21,16
"chord_mrx_09_000087",88.693614,257.642000,88.238331,2.988643,1.859169,0.748325,7,7
"chord_mrx_09_000088",56.354446,145.008617,53.307900,24.556203,2.655479,16.123494,16,15
"chord_mrx_09_000089",53.135665,212.140000,48.278967,24.810974,1.009711,14.604035,23,17
"chord_mrx_09_000090",89.780424,123.367620,86.533188,5.048168,1.964219,2.937095,8,9
"chord_mrx_09_000091",81.126738,158.850612,78.041694,2.358166,13.070178,2.731723,10,11
"chord_mrx_09_000092",71.360124,160.081000,69.694092,19.937407,3.247731,4.010470,9,13
"chord_mrx_09_000093",84.296200,116.532244,80.360012,5.530872,6.312600,3.725996,13,14
"chord_mrx_09_000094",49.135857,167.444898,48.589469,33.516770,5.801197,10.987232,8,9
"chord_mrx_09_000095",56.534745,154.934673,55.986785,8.193360,2.766627,32.198732,12,6
"chord_mrx_09_000096",57.601554,145.614919,55.449807,34.697087,1.146944,5.261879,12,12
"chord_mrx_09_000097",78.950049,108.312164,74.977525,1.391647,7.005816,12.580701,7,9
"chord_mrx_09_000098",80.794265,124.551837,76.728171,5.769090,7.213624,6.072135,9,7
"chord_mrx_09_000099",82.906955,160.417959,80.365024,0.984927,10.664515,4.470991,5,6
"chord_mrx_09_000100",66.655715,119.145091,63.062942,17.676913,1.231666,13.585167,9,10
"chord_mrx_09_000101",81.587397,92.708571,81.587397,10.982649,1.049360,5.864823,13,8
"chord_mrx_09_000102",81.563812,118.987755,77.498053,8.969968,4.301801,4.115413,5,12
"chord_mrx_09_000103",46.547091,215.066122,45.968817,27.358505,0.909198,24.956473,13,12
"chord_mrx_09_000104",83.690432,149.741757,76.229166,6.895083,5.407881,2.101979,7,7
