MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",81.907942,148.276825,81.610933,9.341111,4.431929,2.243369,5,7
"chord_mrx_09_000001",96.578308,200.129245,96.311451,0.000000,0.493105,0.000000,1,2
"chord_mrx_09_000002",87.463658,182.143129,87.221873,4.276582,3.385726,1.790014,6,5
"chord_mrx_09_000003",79.837371,153.469388,79.400492,5.321784,7.858813,1.406942,7,6
"chord_mrx_09_000004",70.363606,236.088889,70.363606,12.772548,4.986080,9.416732,18,13
"chord_mrx_09_000005",62.551515,194.841000,62.229746,12.099392,4.883206,11.778772,19,13
"chord_mrx_09_000006",70.422819,183.771429,70.172756,4.135671,19.735052,2.977967,5,6
"chord_mrx_09_000007",80.013028,112.875102,79.576989,6.158569,5.867593,3.294199,9,10
"chord_mrx_09_000008",69.185954,171.101752,68.989177,12.815772,5.033173,9.983108,15,10
"chord_mrx_09_000009",92.198874,164.022857,92.198874,0.000000,4.087457,2.943993,9,9
"chord_mrx_09_000010",79.582289,149.394286,79.180121,6.815490,5.526703,4.629543,8,8
"chord_mrx_09_000011",72.067394,201.753890,71.801657,2.405547,9.691461,12.883047,11,9
"chord_mrx_09_000012",76.952389,147.513469,76.623798,0.051702,17.632970,2.238599,3,6
"chord_mrx_09_000013",74.443545,277.080816,74.277693,8.038980,8.348821,6.547824,11,12
"chord_mrx_09_000014",61.411066,263.332325,61.268884,3.892010,14.208649,15.321830,6,7
"chord_mrx_09_000015",60.795121,111.962523,60.725571,7.837107,16.297353,14.646373,10,8
"chord_mrx_09_000016",64.412154,107.637134,64.003006,17.687893,4.006931,9.751640,9,9
"chord_mrx_09_000017",0.201584,132.465487,0.000000,0.000000,95.339240,3.914324,8,7
"chord_mrx_09_000018",37.375269,101.459592,37.260839,45.209699,0.473395,4.653871,4,4
"chord_mrx_09_000019",47.962745,145.075374,47.516594,10.765513,28.106834,9.458966,5,7
"chord_mrx_09_000020",67.772169,129.509298,67.368762,4.723750,1.996151,20.947406,9,8
"chord_mrx_09_000021",91.489632,200.943000,91.256034,0.000000,3.983981,1.343081,6,6
"chord_mrx_09_000022",78.400601,157.152653,78.120367,0.000000,18.316827,0.065048,4,4
"chord_mrx_09_000023",92.398192,110.184490,91.876618,0.000000,1.491066,2.605420,4,5
"chord_mrx_09_000024",70.624895,154.652170,70.223999,8.898756,3.690620,13.956448,11,8
"chord_mrx_09_000025",73.813845,183.133000,73.807505,2.829959,14.024508,6.825646,9,11
"chord_mrx_09_000026",95.203137,170.912160,94.878773,0.000000,2.756295,0.000000,3,3
"chord_mrx_09_000027",82.344629,160.198986,82.112718,1.985980,6.004557,8.036590,6,5
"chord_mrx_09_000028",67.710815,337.995000,67.532940,10.507677,8.172152,10.148716,26,19
"chord_mrx_09_000029",70.086299,110.064000,69.766468,12.858430,6.174229,7.078727,10,11
"chord_mrx_09_000030",21.243238,121.376000,20.860626,0.000000,1.984912,0.000000,3,3
"chord_mrx_09_000031",25.446543,229.683084,25.143256,0.303287,68.738653,1.521489,3,6
"chord_mrx_09_000032",40.595325,19.022380,38.884135,18.682137,9.759357,30.416141,8,7
"chord_mrx_09_000033",80.269283,151.092245,79.831292,10.681554,3.520694,2.553537,12,14
"chord_mrx_09_000034",90.155330,158.066939,89.868876,0.000000,3.581409,2.555937,5,6
"chord_mrx_09_000035",78.745146,147.142000,78.587339,5.372520,4.231319,6.184323,14,12
"chord_mrx_09_000036",66.027149,217.887347,65.851392,11.733266,5.182719,16.130994,8,6
"chord_mrx_09_000037",81.411746,121.392510,80.933546,0.000000,5.040099,10.117354,5,7
"chord_mrx_09_000038",81.510817,195.343673,81.501902,2.100859,10.733167,4.472439,10,11
"chord_mrx_09_000039",32.887741,333.425000,32.798823,19.998584,8.839713,25.627782,12,14
"chord_mrx_09_000040",76.573436,228.600000,76.365208,5.446564,10.397434,5.932089,12,8
"chord_mrx_09_000041",70.888994,166.997912,70.617860,16.441644,2.391346,6.625404,9,7
"chord_mrx_09_000042",72.328932,117.330432,71.982754,2.381213,1.986020,19.769434,4,7
"chord_mrx_09_000043",24.770351,161.149388,24.683897,44.625819,3.707729,17.438002,7,10
"chord_mrx_09_000044",77.940013,152.581224,77.634263,12.705453,5.694005,1.346492,8,8
"chord_mrx_09_000045",48.634948,136.681362,48.340760,39.128391,2.565762,8.585682,10,8
"chord_mrx_09_000046",48.614439,175.827000,48.456329,17.806024,16.177113,16.195165,15,15
"chord_mrx_09_000047",81.818511,40.620408,80.970029,0.000000,8.442864,3.429798,3,5
"chord_mrx_09_000048",86.543734,148.511640,86.395200,2.353084,5.801485,2.174182,7,7
"chord_mrx_09_000049",75.269647,167.627755,75.013383,5.533805,13.385909,3.296904,3,5
"chord_mrx_09_000050",12.340257,194.089796,12.281065,1.462258,41.232190,43.194419,10,10
"chord_mrx_09_000051",47.232882,150.282449,47.117000,25.546329,13.224157,9.354185,9,10
"chord_mrx_09_000052",78.110172,72.751020,78.110172,2.897247,17.118234,1.650927,6,8
"chord_mrx_09_000053",51.576218,31.681117,49.771383,0.000000,20.014272,0.000000,1,2
"chord_mrx_09_000054",66.589162,206.007440,66.234112,11.119069,17.361839,0.635735,5,7
"chord_mrx_09_000055",84.566675,167.122720,84.295743,2.073333,6.443661,3.957014,6,6
"chord_mrx_09_000056",67.967753,192.496327,67.743088,17.537983,8.464964,3.545580,7,8
"chord_mrx_09_000057",81.146715,225.309026,80.997281,9.004778,1.245612,6.004515,9,6
"chord_mrx_09_000058",77.551848,117.860212,77.210682,10.201626,3.503691,2.857226,7,6
"chord_mrx_09_000059",60.614270,202.317000,60.499499,12.825410,4.954964,20.743442,11,11
"chord_mrx_09_000060",76.356389,156.708571,76.119313,7.764200,6.742652,9.097557,7,11
"chord_mrx_09_000061",55.355693,138.919232,54.958878,30.490950,1.800091,9.414311,13,8
"chord_mrx_09_000062",90.286618,253.399781,90.130841,1.209565,4.056524,3.559156,7,6
"chord_mrx_09_000063",36.158178,133.587302,25.492236,41.554169,3.795195,5.338659,12,11
"chord_mrx_09_000064",63.040179,214.713000,62.859249,10.455022,6.949912,15.652691,10,11
"chord_mrx_09_000065",51.983968,189.515466,51.769553,16.281330,7.169672,23.338938,10,8
"chord_mrx_09_000066",50.714205,290.848000,50.614827,20.330791,6.416667,13.988180,15,11
"chord_mrx_09_000067",76.805363,138.370612,76.478134,12.659924,4.370679,2.493308,6,6
"chord_mrx_09_000068",63.426302,192.737235,63.287757,8.180315,15.634537,11.256122,11,11
"chord_mrx_09_000069",62.718595,116.424853,62.704123,0.504076,22.147640,11.724527,10,11
"chord_mrx_09_000070",85.064614,139.706676,84.748824,8.413726,4.509467,1.067032,10,11
"chord_mrx_09_000071",76.416133,164.101224,76.106372,3.366759,17.298924,0.582381,7,5
"chord_mrx_09_000072",55.059763,151.914612,54.761708,28.561001,7.018453,5.274248,6,6
"chord_mrx_09_000073",57.933574,304.150793,57.781841,0.000000,22.929483,18.688902,2,7
"chord_mrx_09_000074",37.364033,137.757028,37.119626,41.301780,1.200856,19.486294,14,9
"chord_mrx_09_000075",79.598222,144.771973,79.219302,8.238533,6.338465,2.801962,6,6
"chord_mrx_09_000076",83.334658,159.674920,83.116528,4.792745,5.599315,5.483210,12,11
"chord_mrx_09_000077",66.759741,137.607256,66.456008,26.727780,0.895466,1.756965,12,8
"chord_mrx_09_000078",79.714953,147.983673,79.432518,7.007372,3.341470,7.092953,8,8
"chord_mrx_09_000079",28.342267,86.999931,28.142095,34.931999,1.223816,35.482003,12,11
"chord_mrx_09_000080",67.237041,157.531000,67.076662,3.218593,7.678278,20.108749,9,9
"chord_mrx_09_000081",81.491237,175.804082,81.266703,4.040900,7.846470,3.018270,5,5
"chord_mrx_09_000082",22.684655,157.648980,22.426900,64.493142,1.983761,7.764021,11,10
"chord_mrx_09_000083",78.721272,155.173152,78.504296,9.160097,8.969505,2.546234,10,9
"chord_mrx_09_000084",81.131699,171.101456,80.895905,1.715601,9.867979,3.732339,5,12
"chord_mrx_09_000085",76.323133,163.317551,76.095651,3.019115,4.338846,8.517867,7,10
"chord_mrx_09_000086",68.129424,225.821231,67.947842,7.233764,10.571728,6.184886,13,12
"chord_mrx_09_000087",85.851419,257.642000,85.777512,2.997647,3.843095,1.216215,7,5
"chord_mrx_09_000088",46.051327,145.008617,45.590569,20.669554,3.516426,26.766837,15,13
"chord_mrx_09_000089",48.190559,212.140000,48.031848,22.832013,6.075065,12.403018,18,13
"chord_mrx_09_000090",85.940661,123.367620,85.514998,2.104204,2.661862,6.304996,7,7
"chord_mrx_09_000091",71.172414,158.850612,70.837060,11.472889,11.934657,1.954480,10,9
"chord_mrx_09_000092",60.172173,160.081000,60.056132,28.316501,6.399865,2.117202,9,11
"chord_mrx_09_000093",79.208572,116.532244,78.757751,0.816958,7.355747,9.133355,13,11
"chord_mrx_09_000094",30.210986,167.444898,29.930174,47.250270,3.012481,18.701743,7,4
"chord_mrx_09_000095",60.251292,154.934673,59.974034,0.000000,12.573688,26.597782,5,5
"chord_mrx_09_000096",53.280214,145.614919,52.865615,33.668926,0.938306,9.082869,10,9
"chord_mrx_09_000097",73.870557,108.312164,73.517646,0.000000,4.902279,17.606735,7,8
"chord_mrx_09_000098",80.206826,124.551837,79.869224,1.914523,13.513448,0.556768,6,7
"chord_mrx_09_000099",79.676429,160.417959,79.389963,0.981011,12.575476,4.465168,5,7
"chord_mrx_09_000100",62.892624,119.145091,62.541826,10.152827,6.662801,16.199235,8,9
"chord_mrx_09_000101",72.378805,92.708571,72.378805,13.484161,5.613696,8.373061,11,9
"chord_mrx_09_000102",80.842906,118.987755,80.462372,0.000000,12.102620,2.320243,5,6
"chord_mrx_09_000103",67.912877,215.066122,67.727984,4.176398,10.713424,16.604224,8,8
"chord_mrx_09_000104",84.239468,149.741757,83.960348,4.928789,0.513778,1.434552,7,6
"chord_mrx_09_000105",49.616404,129.776327,49.306563,39.315461,2.585982,5.104436,10,6
"chord_mrx_09_000106",96.130545,183.876294,96.093425,0.157850,2.230334,0.644737,6,5
"chord_mrx_09_000107",67.983593,145.120967,67.735586,14.188197,12.998531,3.912266,8,5
"chord_mrx_09_000108",45.867194,123.916000,45.792240,33.104556,0.680028,13.085141,11,8
"chord_mrx_09_000109",63.196279,146.494694,62.882587,22.992005,4.983378,4.236704,7,7
"chord_mrx_09_000110",86.744195,177.266939,86.469119,0.000000,10.546695,2.023774,3,3
"chord_mrx_09_000111",89.118479,125.342112,88.974909,2.955683,3.987752,0.377055,5,6
"chord_mrx_09_000112",90.584354,118.267344,90.476370,1.370576,4.194546,2.017234,7,6
"chord_mrx_09_000113",77.260477,190.101768,77.018741,9.285766,4.197166,6.429736,8,7
"chord_mrx_09_000114",66.003374,159.208797,65.711682,1.634185,12.429301,13.709816,6,9
"chord_mrx_09_000115",55.789705,315.765042,55.721685,10.507287,4.119993,7.299456,13,12
"chord_mrx_09_000116",79.398138,113.439539,79.398138,1.962482,2.616967,15.029155,9,12
"chord_mrx_09_000117",85.307589,163.204352,85.053862,2.094906,7.473698,2.522322,7,5
"chord_mrx_09_000118",59.706623,128.026122,59.371091,10.464791,21.953371,3.689973,5,6
"chord_mrx_09_000119",85.600732,156.708571,85.326612,3.325576,5.847685,2.381496,10,10
"chord_mrx_09_000120",47.676751,211.581000,47.660289,8.298027,3.796020,11.422659,10,10
"chord_mrx_09_000121",63.228330,232.874000,63.070871,7.724038,10.738201,13.136111,10,12
"chord_mrx_09_000122",76.831624,105.743806,76.370491,9.817121,3.406774,7.744757,12,9
"chord_mrx_09_000123",83.954766,152.176427,83.672482,0.816334,10.991765,0.000000,5,4
"chord_mrx_09_000124",62.869601,201.742335,62.679779,26.734003,2.669102,6.437535,13,9
"chord_mrx_09_000125",78.030577,171.322630,77.773064,6.606562,1.123431,10.689148,10,13
"chord_mrx_09_000126",88.987080,126.828262,88.554724,2.681253,3.632672,1.573849,8,6
"chord_mrx_09_000127",63.926292,100.653000,63.695599,9.045049,12.412684,12.202932,9,7
"chord_mrx_09_000128",70.961644,158.992759,70.829170,19.876681,5.426223,1.343924,11,8
"chord_mrx_09_000129",79.650300,133.407347,79.328302,8.138678,3.496981,4.504257,8,8
"chord_mrx_09_000130",72.653518,216.685714,72.160584,2.431824,7.257055,8.733683,8,8
"chord_mrx_09_000131",41.250705,91.585306,40.845051,49.441430,2.017183,7.278199,8,6
"chord_mrx_09_000132",75.337425,237.692194,75.206766,3.621268,13.934704,6.186118,8,4
"chord_mrx_09_000133",79.658782,179.617959,79.419625,7.144367,1.601123,9.642104,5,8
"chord_mrx_09_000134",81.740282,108.016327,81.270041,8.472470,6.047038,0.417389,7,6
"chord_mrx_09_000135",64.514847,132.308000,64.213619,18.189569,4.592143,10.700198,12,16
"chord_mrx_09_000136",77.502380,199.942785,77.204789,10.152128,6.777357,4.434581,9,11
"chord_mrx_09_000137",81.214886,258.380419,81.180431,2.560448,4.594013,10.810201,11,11
"chord_mrx_09_000138",38.374928,208.658000,38.268326,41.165937,2.389623,9.649721,14,10
"chord_mrx_09_000139",86.596938,125.753469,86.185566,0.000000,5.269906,4.953169,8,7
"chord_mrx_09_000140",80.945167,177.580408,80.595391,7.706698,2.289810,7.291655,7,9
"chord_mrx_09_000141",86.335554,64.527688,86.335554,0.000000,13.664446,0.000000,5,4
"chord_mrx_09_000142",67.056157,193.825000,66.822723,12.423505,7.684795,10.011580,15,12
"chord_mrx_09_000143",61.230288,135.320091,60.878522,7.014619,8.139865,21.848591,12,12
"chord_mrx_09_000144",62.741655,260.649796,62.630299,21.211108,1.328951,12.151885,5,10
"chord_mrx_09_000145",88.677918,142.759184,88.351528,0.000000,8.150717,0.268374,3,4
"chord_mrx_09_000146",43.134892,158.824490,42.798635,37.158836,7.540725,9.370403,14,7
"chord_mrx_09_000147",63.618873,163.827000,63.452234,2.447796,12.861597,1.500700,7,12
"chord_mrx_09_000148",80.341946,137.862112,79.373833,1.591653,10.347179,4.906927,7,8
"chord_mrx_09_000149",88.297059,156.734694,87.926689,1.535634,1.810790,5.030146,5,8
"chord_mrx_09_000150",90.731459,153.756735,90.319936,1.725613,4.210487,0.448708,4,5
"chord_mrx_09_000151",0.190943,199.496000,0.000000,0.000000,20.013846,51.877319,5,9
"chord_mrx_09_000152",31.700681,93.838535,31.347467,60.147844,1.748414,2.952399,5,7
