MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",81.111531,148.276825,79.202801,4.818392,3.477498,10.199650,5,10
"chord_mrx_09_000001",62.571141,200.129245,60.411720,36.392836,0.000000,0.000000,1,4
"chord_mrx_09_000002",87.617145,182.143129,85.139874,2.518999,3.387230,5.687073,6,8
"chord_mrx_09_000003",64.860488,153.469388,64.553248,11.940224,10.557425,6.631904,7,7
"chord_mrx_09_000004",61.493561,236.088889,61.127467,20.973579,5.543706,9.918841,18,24
"chord_mrx_09_000005",74.097172,194.841000,71.903426,6.543382,0.558816,11.985492,19,27
"chord_mrx_09_000006",64.978711,183.771429,62.015606,13.690573,13.891345,6.955304,5,7
"chord_mrx_09_000007",74.617000,112.875102,69.619618,16.077189,4.734655,4.296136,9,12
"chord_mrx_09_000008",67.985725,171.101752,64.820831,10.822208,2.625703,18.483121,15,20
"chord_mrx_09_000009",79.243850,164.022857,79.217307,12.526053,4.872367,2.710762,9,13
"chord_mrx_09_000010",70.080739,149.394286,66.310301,12.602933,6.877714,9.062715,8,10
"chord_mrx_09_000011",58.840405,201.753890,55.831102,30.328154,0.350934,10.271521,11,14
"chord_mrx_09_000012",72.117208,147.513469,68.664278,17.389803,7.496858,2.624698,3,11
"chord_mrx_09_000013",66.452471,277.080816,63.957395,20.140904,3.982803,8.854837,11,30
"chord_mrx_09_000014",46.799248,263.332325,43.947653,41.050395,3.410399,4.433186,6,5
"chord_mrx_09_000015",76.418965,111.962523,75.972924,0.119641,11.371787,11.837122,10,10
"chord_mrx_09_000016",35.310843,107.637134,31.579233,25.627531,1.845294,36.397412,9,10
"chord_mrx_09_000017",0.544069,132.465487,0.000000,0.000000,85.624343,13.629221,8,11
"chord_mrx_09_000018",65.679544,101.459592,53.277348,31.248290,0.191466,0.167911,4,5
"chord_mrx_09_000019",78.874117,145.075374,75.720607,2.484204,13.115178,4.527918,5,7
"chord_mrx_09_000020",54.725356,129.509298,51.091549,17.163389,5.568648,20.934715,9,9
"chord_mrx_09_000021",78.825145,200.943000,78.683991,5.628530,10.093858,2.032905,6,8
"chord_mrx_09_000022",42.675048,157.152653,39.551355,42.726268,5.487800,8.263891,4,7
"chord_mrx_09_000023",92.099889,110.184490,88.136653,3.246686,0.898635,3.301247,4,7
"chord_mrx_09_000024",82.520445,154.652170,79.322057,8.175413,1.274415,7.861073,11,13
"chord_mrx_09_000025",79.842793,183.133000,77.330412,3.734059,6.598700,7.048313,9,9
"chord_mrx_09_000026",50.391881,170.912160,49.317215,44.809159,2.612856,0.895838,3,5
"chord_mrx_09_000027",85.874733,160.198986,84.909607,9.448783,1.667258,2.114196,6,8
"chord_mrx_09_000028",66.822227,337.995000,65.278716,13.158679,5.676138,10.711224,26,35
"chord_mrx_09_000029",78.938866,110.064000,76.667436,8.664919,4.012818,6.242006,10,14
"chord_mrx_09_000030",83.873504,121.376000,19.192670,0.000000,3.504639,0.000000,3,4
"chord_mrx_09_000031",19.889389,229.683084,18.987269,1.778760,68.058442,2.663327,3,6
"chord_mrx_09_000032",70.817868,19.022380,69.261522,0.444876,9.916709,18.665703,8,11
"chord_mrx_09_000033",85.790939,151.092245,83.159278,8.828009,2.946132,1.653658,12,15
"chord_mrx_09_000034",91.773129,158.066939,88.628275,0.077830,4.026919,2.489984,5,6
"chord_mrx_09_000035",75.980642,147.142000,75.671563,11.482094,2.941204,4.280640,14,24
"chord_mrx_09_000036",61.840730,217.887347,61.647656,26.996591,1.381947,8.697339,8,12
"chord_mrx_09_000037",88.027171,121.392510,84.524655,0.000000,3.339889,6.951231,5,6
"chord_mrx_09_000038",82.613202,195.343673,81.463174,11.255272,5.486013,0.620381,10,15
"chord_mrx_09_000039",68.628402,333.425000,57.168493,2.504919,3.887773,23.382168,12,19
"chord_mrx_09_000040",81.747787,228.600000,81.645062,7.031147,3.383778,6.081308,12,12
"chord_mrx_09_000041",58.184475,166.997912,55.371638,29.849575,2.649834,8.040833,9,20
"chord_mrx_09_000042",84.109045,117.330432,80.387478,4.554077,0.256753,10.990531,4,9
"chord_mrx_09_000043",50.272711,161.149388,42.894257,37.913268,2.442454,3.720857,7,7
"chord_mrx_09_000044",55.951796,152.581224,53.374453,31.096603,4.357832,8.123845,8,12
"chord_mrx_09_000045",59.208239,136.681362,57.874425,19.785979,1.646261,19.098939,10,21
"chord_mrx_09_000046",84.502244,175.827000,83.182734,3.609343,3.360840,8.499766,15,17
"chord_mrx_09_000047",87.797415,40.620408,80.934185,4.864459,2.411689,2.904833,3,5
"chord_mrx_09_000048",77.032365,148.511640,73.774359,8.886008,8.192200,5.694614,7,9
"chord_mrx_09_000049",47.571667,167.627755,44.801667,22.551971,11.647077,17.670616,3,10
"chord_mrx_09_000050",11.549122,194.089796,11.342559,2.361532,36.633783,42.706184,10,11
"chord_mrx_09_000051",48.396703,150.282449,44.969460,26.502896,5.146634,17.355755,9,22
"chord_mrx_09_000052",66.240093,72.751020,66.240093,16.159391,7.617132,9.335943,6,13
"chord_mrx_09_000053",64.113595,31.681117,46.850741,0.000000,1.903948,21.030966,1,4
"chord_mrx_09_000054",74.443557,206.007440,71.211787,3.636049,14.680508,1.964285,5,10
"chord_mrx_09_000055",75.297443,167.122720,72.067193,18.676795,3.750174,1.418572,6,8
"chord_mrx_09_000056",74.989332,192.496327,72.348058,21.813779,0.689649,2.440129,7,11
"chord_mrx_09_000057",57.140923,225.309026,55.188291,29.533167,1.106475,11.424253,9,10
